cluster	id
1	TRAV17*01
1	TRAV9-1*01
1	TRAV9-2*01
1	TRAV9-3*01
1	TRAV9-4*01
1	TRAV9D-1*01
1	TRAV9D-2*01
1	TRAV9D-3*01
1	TRAV9D-4*01
1	TRAV9N-2*01
1	TRAV9N-3*01
1	TRAV9N-4*01
2	TRAV12-1*01
2	TRAV12-2*01
2	TRAV12-3*01
2	TRAV12D-1*01
2	TRAV12D-2*01
2	TRAV12N-1*01
2	TRAV12N-2*01
2	TRAV12N-3*01
3	TRAV6-1*01
3	TRAV6-2*01
3	TRAV6-3*01
3	TRAV6-4*01
3	TRAV6-5*01
3	TRAV6-6*01
3	TRAV6-7/DV9*01
3	TRAV6D-3*01
3	TRAV6D-4*01
3	TRAV6D-5*01
3	TRAV6D-6*01
3	TRAV6D-7*01
3	TRAV6N-5*01
3	TRAV6N-6*01
3	TRAV6N-7*01
4	TRAV4-2*01
4	TRAV4-3*01
4	TRAV4-4/DV10*01
4	TRAV4D-3*01
4	TRAV4D-4*01
4	TRAV4N-3*01
4	TRAV4N-4*01
5	TRAV13-1*01
5	TRAV13-2*01
5	TRAV13-3*01
5	TRAV13-4/DV7*01
5	TRAV13-5*01
5	TRAV13D-1*01
5	TRAV13D-2*01
5	TRAV13D-3*01
5	TRAV13D-4*01
5	TRAV13N-1*01
5	TRAV13N-2*01
5	TRAV13N-3*01
5	TRAV13N-4*01
6	TRAV16*01
6	TRAV16D/DV11*01
6	TRAV16N*01
7	TRAV15-1/DV6-1*01
7	TRAV15-2/DV6-2*01
7	TRAV15D-1/DV6D-1*01
7	TRAV15D-2/DV6D-2*01
7	TRAV15N-1*01
7	TRAV15N-2*01
8	TRAV7-1*01
8	TRAV7-2*01
8	TRAV7-3*01
8	TRAV7-4*01
8	TRAV7-5*01
8	TRAV7-6*01
8	TRAV7D-2*01
8	TRAV7D-3*01
8	TRAV7D-4*01
8	TRAV7D-5*01
8	TRAV7D-6*01
8	TRAV7N-4*01
8	TRAV7N-5*01
8	TRAV7N-6*01
9	TRAV8-1*01
9	TRAV8-2*01
9	TRAV8D-1*01
9	TRAV8D-2*01
9	TRAV8N-2*01
10	TRAV2*01
10	TRAV21/DV12*01
11	TRAV11*01
11	TRAV11D*01
12	TRAV1*01
13	TRAV14-1*01
13	TRAV14-2*01
13	TRAV14-3*01
13	TRAV14D-1*01
13	TRAV14D-2*01
13	TRAV14D-3/DV8*01
13	TRAV14N-1*01
13	TRAV14N-2*01
13	TRAV14N-3*01
13	TRAV19*01
14	TRAV3-1*01
14	TRAV3-3*01
14	TRAV3-4*01
14	TRAV3D-3*01
14	TRAV3N-3*01
15	TRAV10*01
15	TRAV10D*01
15	TRAV10N*01
15	TRAV5-1*01
15	TRAV5N-4*01
